series_id,canonical_name,notes
1,New-Hampshire Gazette,Portsmouth, N.H., multiple title changes 1756–1784
2,Virginia Gazette,Williamsburg, Va., multiple runs 1736–1780
3,Massachusetts Spy,Boston, Mass., multiple runs 1770–1775
4,Newport Gazette,Newport, R.I.
5,Pennsylvania Journal,Philadelphia, Pa.
6,Constitutional Courant,Woodbridge, N.J.
7,American Gazette,Salem, Mass.
8,Boston Gazette,Boston, Mass.
9,New York Packet,New York, N.Y.
10,Connecticut Courant,Hartford, Conn.
11,Essex Journal,Newbury-Port, Mass.
12,New-England Chronicle,Boston, Mass.
13,Pennsylvania Evening Post,Philadelphia, Pa.
14,Pennsylvania Gazette,Philadelphia, Pa.
15,Pennsylvania Ledger,Philadelphia, Pa.
